,Año,Trimestre,Provincia,accesos
0,2022,2,Buenos Aires,77.58
1,2022,2,Capital Federal,121.31
2,2022,2,Catamarca,62.4
3,2022,2,Chaco,43.79
4,2022,2,Chubut,83.19
5,2022,2,Córdoba,87.48
6,2022,2,Corrientes,48.35
7,2022,2,Entre Ríos,63.9
8,2022,2,Formosa,43.42
9,2022,2,Jujuy,57.32
10,2022,2,La Pampa,92.98
11,2022,2,La Rioja,80.14
12,2022,2,Mendoza,49.39
13,2022,2,Misiones,51
14,2022,2,Neuquén,80.02
15,2022,2,Río Negro,67.85
16,2022,2,Salta,57.54
17,2022,2,San Juan,49.46
18,2022,2,San Luis,81.76
19,2022,2,Santa Cruz,43.15
20,2022,2,Santa Fe,77.9
21,2022,2,Santiago Del Estero,47.7
22,2022,2,Tierra Del Fuego,99.86
23,2022,2,Tucumán,59.31
24,2022,1,Buenos Aires,76.08
25,2022,1,Capital Federal,111.8
26,2022,1,Catamarca,58.21
27,2022,1,Chaco,44.06
28,2022,1,Chubut,88.05
29,2022,1,Córdoba,85.76
30,2022,1,Corrientes,47.64
31,2022,1,Entre Ríos,63.7
32,2022,1,Formosa,34.96
33,2022,1,Jujuy,58.06
34,2022,1,La Pampa,91.66
35,2022,1,La Rioja,78.77
36,2022,1,Mendoza,48.74
37,2022,1,Misiones,49.04
38,2022,1,Neuquén,74.17
39,2022,1,Río Negro,67.04
40,2022,1,Salta,56.11
41,2022,1,San Juan,43.55
42,2022,1,San Luis,80.72
43,2022,1,Santa Cruz,43.34
44,2022,1,Santa Fe,77.3
45,2022,1,Santiago Del Estero,47.17
46,2022,1,Tierra Del Fuego,98.29
47,2022,1,Tucumán,57.39
48,2021,4,Buenos Aires,75.66
49,2021,4,Capital Federal,111.27
50,2021,4,Catamarca,55.25
51,2021,4,Chaco,44.05
52,2021,4,Chubut,82.57
53,2021,4,Córdoba,84.51
54,2021,4,Corrientes,45.51
55,2021,4,Entre Ríos,63.16
56,2021,4,Formosa,34.45
57,2021,4,Jujuy,56.92
58,2021,4,La Pampa,89.57
59,2021,4,La Rioja,77.92
60,2021,4,Mendoza,47.51
61,2021,4,Misiones,49.06
62,2021,4,Neuquén,73.3
63,2021,4,Río Negro,65.69
64,2021,4,Salta,56.81
65,2021,4,San Juan,39.59
66,2021,4,San Luis,80.3
67,2021,4,Santa Cruz,43.05
68,2021,4,Santa Fe,77.09
69,2021,4,Santiago Del Estero,47.05
70,2021,4,Tierra Del Fuego,98.4
71,2021,4,Tucumán,55.93
72,2021,3,Buenos Aires,71.68
73,2021,3,Capital Federal,111.27
74,2021,3,Catamarca,52.71
75,2021,3,Chaco,42.96
76,2021,3,Chubut,80.71
77,2021,3,Córdoba,81.28
78,2021,3,Corrientes,44.9
79,2021,3,Entre Ríos,62.18
80,2021,3,Formosa,33.96
81,2021,3,Jujuy,55.69
82,2021,3,La Pampa,84.28
83,2021,3,La Rioja,77.26
84,2021,3,Mendoza,45.55
85,2021,3,Misiones,45.57
86,2021,3,Neuquén,69.71
87,2021,3,Río Negro,61.97
88,2021,3,Salta,55.96
89,2021,3,San Juan,39.46
90,2021,3,San Luis,79.87
91,2021,3,Santa Cruz,43.75
92,2021,3,Santa Fe,75.02
93,2021,3,Santiago Del Estero,47
94,2021,3,Tierra Del Fuego,94.95
95,2021,3,Tucumán,54.64
96,2021,2,Buenos Aires,70
97,2021,2,Capital Federal,110.14
98,2021,2,Catamarca,52.34
99,2021,2,Chaco,43.33
100,2021,2,Chubut,72.29
101,2021,2,Córdoba,80.12
102,2021,2,Corrientes,43.54
103,2021,2,Entre Ríos,61.66
104,2021,2,Formosa,33.23
105,2021,2,Jujuy,56.18
106,2021,2,La Pampa,82.08
107,2021,2,La Rioja,76.98
108,2021,2,Mendoza,40.97
109,2021,2,Misiones,45.01
110,2021,2,Neuquén,69.14
111,2021,2,Río Negro,61.94
112,2021,2,Salta,54.93
113,2021,2,San Juan,39.28
114,2021,2,San Luis,83.48
115,2021,2,Santa Cruz,44.01
116,2021,2,Santa Fe,75.07
117,2021,2,Santiago Del Estero,46.56
118,2021,2,Tierra Del Fuego,67.89
119,2021,2,Tucumán,54.93
120,2021,1,Buenos Aires,69.11
121,2021,1,Capital Federal,108.42
122,2021,1,Catamarca,48.9
123,2021,1,Chaco,43.14
124,2021,1,Chubut,68.99
125,2021,1,Córdoba,78.59
126,2021,1,Corrientes,42.66
127,2021,1,Entre Ríos,60.44
128,2021,1,Formosa,32.73
129,2021,1,Jujuy,55.63
130,2021,1,La Pampa,81.78
131,2021,1,La Rioja,49.81
132,2021,1,Mendoza,39.15
133,2021,1,Misiones,43.17
134,2021,1,Neuquén,66.84
135,2021,1,Río Negro,60.88
136,2021,1,Salta,53.93
137,2021,1,San Juan,39.06
138,2021,1,San Luis,81.24
139,2021,1,Santa Cruz,41.65
140,2021,1,Santa Fe,73.92
141,2021,1,Santiago Del Estero,45.67
142,2021,1,Tierra Del Fuego,77.35
143,2021,1,Tucumán,54.82
144,2020,4,Buenos Aires,68.98
145,2020,4,Capital Federal,108.31
146,2020,4,Catamarca,49.41
147,2020,4,Chaco,43.03
148,2020,4,Chubut,68.35
149,2020,4,Córdoba,78.08
150,2020,4,Corrientes,42.43
151,2020,4,Entre Ríos,59.47
152,2020,4,Formosa,32.49
153,2020,4,Jujuy,53.46
154,2020,4,La Pampa,81.77
155,2020,4,La Rioja,50.11
156,2020,4,Mendoza,38.63
157,2020,4,Misiones,42.64
158,2020,4,Neuquén,67
159,2020,4,Río Negro,61.09
160,2020,4,Salta,54.04
161,2020,4,San Juan,36.32
162,2020,4,San Luis,81.68
163,2020,4,Santa Cruz,37
164,2020,4,Santa Fe,73.58
165,2020,4,Santiago Del Estero,43.75
166,2020,4,Tierra Del Fuego,76.27
167,2020,4,Tucumán,54.78
168,2020,3,Buenos Aires,67.66
169,2020,3,Capital Federal,107.68
170,2020,3,Catamarca,47.16
171,2020,3,Chaco,41.54
172,2020,3,Chubut,68.34
173,2020,3,Córdoba,75.22
174,2020,3,Corrientes,41.75
175,2020,3,Entre Ríos,58.19
176,2020,3,Formosa,31.91
177,2020,3,Jujuy,54.04
178,2020,3,La Pampa,79.26
179,2020,3,La Rioja,50.12
180,2020,3,Mendoza,37.35
181,2020,3,Misiones,41.6
182,2020,3,Neuquén,65.24
183,2020,3,Río Negro,57.05
184,2020,3,Salta,52.32
185,2020,3,San Juan,38.79
186,2020,3,San Luis,79.96
187,2020,3,Santa Cruz,35.95
188,2020,3,Santa Fe,72.12
189,2020,3,Santiago Del Estero,43.38
190,2020,3,Tierra Del Fuego,76.81
191,2020,3,Tucumán,53.23
192,2020,2,Buenos Aires,65.22
193,2020,2,Capital Federal,106.41
194,2020,2,Catamarca,45.43
195,2020,2,Chaco,39.83
196,2020,2,Chubut,57.34
197,2020,2,Córdoba,72.71
198,2020,2,Corrientes,40.3
199,2020,2,Entre Ríos,56.54
200,2020,2,Formosa,31.14
201,2020,2,Jujuy,47.89
202,2020,2,La Pampa,76.1
203,2020,2,La Rioja,49.84
204,2020,2,Mendoza,36.25
205,2020,2,Misiones,40.89
206,2020,2,Neuquén,63.9
207,2020,2,Río Negro,56.37
208,2020,2,Salta,51.58
209,2020,2,San Juan,35.09
210,2020,2,San Luis,78.41
211,2020,2,Santa Cruz,35.79
212,2020,2,Santa Fe,70
213,2020,2,Santiago Del Estero,43.47
214,2020,2,Tierra Del Fuego,76.37
215,2020,2,Tucumán,51.78
216,2020,1,Buenos Aires,64.33
217,2020,1,Capital Federal,105.98
218,2020,1,Catamarca,37.62
219,2020,1,Chaco,37.48
220,2020,1,Chubut,51.27
221,2020,1,Córdoba,70.69
222,2020,1,Corrientes,38.73
223,2020,1,Entre Ríos,56.12
224,2020,1,Formosa,30.23
225,2020,1,Jujuy,46.67
226,2020,1,La Pampa,75.77
227,2020,1,La Rioja,46.35
228,2020,1,Mendoza,33.14
229,2020,1,Misiones,39.02
230,2020,1,Neuquén,61.85
231,2020,1,Río Negro,55.12
232,2020,1,Salta,49.6
233,2020,1,San Juan,32.39
234,2020,1,San Luis,76.31
235,2020,1,Santa Cruz,35.97
236,2020,1,Santa Fe,69.52
237,2020,1,Santiago Del Estero,42.47
238,2020,1,Tierra Del Fuego,76.07
239,2020,1,Tucumán,47.85
240,2019,4,Buenos Aires,64.25
241,2019,4,Capital Federal,106.25
242,2019,4,Catamarca,36.44
243,2019,4,Chaco,36.84
244,2019,4,Chubut,51.15
245,2019,4,Córdoba,70.48
246,2019,4,Corrientes,38.77
247,2019,4,Entre Ríos,57.99
248,2019,4,Formosa,30.47
249,2019,4,Jujuy,45.38
250,2019,4,La Pampa,76.92
251,2019,4,La Rioja,47.14
252,2019,4,Mendoza,33.65
253,2019,4,Misiones,39.79
254,2019,4,Neuquén,59.36
