,Año,Provincia,Total
0,2022,Buenos Aires,4667183
1,2022,Capital Federal,1536771
2,2022,Catamarca,67008
3,2022,Chaco,143564
4,2022,Chubut,162805
5,2022,Córdoba,1026435
6,2022,Corrientes,144997
7,2022,Entre Ríos,269352
8,2022,Formosa,67881
9,2022,Jujuy,115314
10,2022,La Pampa,111527
11,2022,La Rioja,86030
12,2022,Mendoza,279562
13,2022,Misiones,178813
14,2022,Neuquén,161968
15,2022,Río Negro,159764
16,2022,Salta,203177
17,2022,San Juan,100407
18,2022,San Luis,121741
19,2022,Santa Cruz,49185
20,2022,Santa Fe,878859
21,2022,Santiago Del Estero,118044
22,2022,Tierra Del Fuego,53770
23,2022,Tucumán,254527
24,2022,Buenos Aires,4555424
25,2022,Capital Federal,1417541
26,2022,Catamarca,62378
27,2022,Chaco,144119
28,2022,Chubut,171628
29,2022,Córdoba,1003803
30,2022,Corrientes,142578
31,2022,Entre Ríos,267926
32,2022,Formosa,54548
33,2022,Jujuy,116509
34,2022,La Pampa,109732
35,2022,La Rioja,84303
36,2022,Mendoza,275185
37,2022,Misiones,171508
38,2022,Neuquén,149679
39,2022,Río Negro,157374
40,2022,Salta,197515
41,2022,San Juan,88178
42,2022,San Luis,119844
43,2022,Santa Cruz,49102
44,2022,Santa Fe,870479
45,2022,Santiago Del Estero,116461
46,2022,Tierra Del Fuego,52611
47,2022,Tucumán,245584
48,2021,Buenos Aires,4509157
49,2021,Capital Federal,1412119
50,2021,Catamarca,59090
51,2021,Chaco,143745
52,2021,Chubut,160308
53,2021,Córdoba,986770
54,2021,Corrientes,135912
55,2021,Entre Ríos,265046
56,2021,Formosa,53663
57,2021,Jujuy,113915
58,2021,La Pampa,107007
59,2021,La Rioja,83128
60,2021,Mendoza,267587
61,2021,Misiones,171132
62,2021,Neuquén,147466
63,2021,Río Negro,153753
64,2021,Salta,199405
65,2021,San Juan,79958
66,2021,San Luis,118849
67,2021,Santa Cruz,48486
68,2021,Santa Fe,866441
69,2021,Santiago Del Estero,115861
70,2021,Tierra Del Fuego,52357
71,2021,Tucumán,238639
72,2021,Buenos Aires,4251609
73,2021,Capital Federal,1413405
74,2021,Catamarca,56254
75,2021,Chaco,139871
76,2021,Chubut,156066
77,2021,Córdoba,946788
78,2021,Corrientes,133819
79,2021,Entre Ríos,260375
80,2021,Formosa,52795
81,2021,Jujuy,111158
82,2021,La Pampa,100487
83,2021,La Rioja,82160
84,2021,Mendoza,255939
85,2021,Misiones,158528
86,2021,Neuquén,139809
87,2021,Río Negro,144585
88,2021,Salta,195833
89,2021,San Juan,79483
90,2021,San Luis,117864
91,2021,Santa Cruz,48976
92,2021,Santa Fe,841584
93,2021,Santiago Del Estero,115458
94,2021,Tierra Del Fuego,50223
95,2021,Tucumán,232472
96,2021,Buenos Aires,4132351
97,2021,Capital Federal,1400355
